Transport,Nom,Any inici,Coordenades
Metro,Santa Eulàlia,1983,POINT (41.36918 2.128757)
Metro,Torrassa L1,1983,POINT (41.368524 2.116602)
Metro,Florida,1987,POINT (41.368561 2.110108)
Metro,Can Serra,1987,POINT (41.367875 2.1036)
Metro,Rambla Just Oliveras,1987,POINT (41.364022 2.100347)
Metro,Avinguda Carrilet L1,1987,POINT (41.358037 2.102493)
Metro,Bellvitge,1989,POINT (41.351314 2.111376)
Metro,Feixa Llarga (Hospital de Bellvitge),1989,POINT (41.344554 2.106706)
Metro,Sant Ramon (Collblanc L5),1969,POINT (41.376373 2.118108)
Metro,Pubilla Cases,1973,POINT (41.373808 2.106999)
Metro,Buxeres (Can Boixeres),1976,POINT (41.366846 2.091543)
Metro,Collblanc L9S,2016,POINT (41.375954 2.118285)
Metro,Torrassa L9S,2016,POINT (41.368524 2.116602)
Metro,Can Trias | Gornal,2016,POINT (41.360943 2.118249)
Metro,Europa | Fira L9S,2016,POINT (41.357384 2.124808)
Metro,Fira,2016,POINT (41.352098 2.130758)
Metro,Collblanc L10S,2018,POINT (41.376373 2.118108)
Metro,Torrassa L10S,2018,POINT (41.368524 2.116602)
Metro,Can Trias | Gornal L10S,2018,POINT (41.360943 2.118249)
Metro,Provençana,2019,POINT (41.361416 2.123358)
FGC,Ildefons Cerdà | Ciutat de la Justícia,1987,POINT (41.361412 2.130191)
FGC,Europa | Fira FGC,2007,POINT (41.357384 2.124808)
FGC,Gornal FGC,1987,POINT (41.355339 2.117199)
FGC,Sant Josep,1985,POINT (41.360893 2.110305)
FGC,L'H Avinguda Carrilet FGC,1985,POINT (41.358037 2.102493)
TRAM,Can Rigal,2004,POINT (41.375987 2.105965)
Ferrocarril,L'Hospitalet de Llobregat,1854,POINT (41.36409 2.100078)
Ferrocarril,Bellvitge,1881,POINT (41.354871 2.115287)
